id,tweet_text,tweet_date,sentiment,query_used
1031761728445530112,@Tixaa23 14 para eu ir :),Tue Aug 21 04:35:39 +0000 2018,Positivo,:)
1031761040462278656,@drexalvarez O meu like eu já dei na época :),Tue Aug 21 04:32:55 +0000 2018,Positivo,:)
1031760962372689920,Eu só queria conseguir comer alguma coisa pra poder dormir :),Tue Aug 21 04:32:37 +0000 2018,Positivo,:)
1031760948250456066,:D que lindo dia !,Tue Aug 21 04:32:33 +0000 2018,Positivo,:)
1031760895985246208,"@Primo_Resmungao Pq da pr jeito!!é uma ""oferta"", ha q aproveitar. :P",Tue Aug 21 04:32:21 +0000 2018,Positivo,:)
1031760822543020032,"@BadWolf_Wagner @DanieVedo Eu entendi, mas isso foi mais porque eu pensei em outra coisa. :P",Tue Aug 21 04:32:03 +0000 2018,Positivo,:)
1031760780641718272,@Chyko661 @g1 [+] Carcinoma Hepatico (Cancer de Figado). Deivison lutou contra a doença por um ano e faleceu ontem a tarde. Espero que minha explicaçao tenha te ajudado. :),Tue Aug 21 04:31:53 +0000 2018,Positivo,:)
1031760749813805058,"Aquela mina da limpeza, que tinha um marido com meu problema me adicionou aqui no face, esquisito a princípio mas ah, nega velha e pa, veio perguntar como eu tô :) Ela deve ter tomado as dor, me viu malzao e pá.",Tue Aug 21 04:31:46 +0000 2018,Positivo,:)
1031760690778976262,"@narryfools aqui, espero que você melhore logo :) https://t.co/OBiMIrbU9F",Tue Aug 21 04:31:32 +0000 2018,Positivo,:)
1031760658600284160,@fefocaires se és feliz trabalhando nisso então não pare se as pessoas se incomodam com sua opinião é pq elas te dão ouvido e seu trabalho tem um grande alcance :),Tue Aug 21 04:31:24 +0000 2018,Positivo,:)
1031760637016371200,vamos se seguir no insta? se quiser sdv :) #TercaDetremuraSDV,Tue Aug 21 04:31:19 +0000 2018,Positivo,:)
1031760615268929536,"@youngsnowblood @thegr8angelica a para vc q é ???? mt obg, eu me sinto até melhor agr :)",Tue Aug 21 04:31:14 +0000 2018,Positivo,:)
